5.819, -1.310, 0.545
3.864, -0.057, 3.176
-3.353, -0.813, 3.597
-5.148, 0.388, 1.809
9.504, -1.786, 0.393
-9.834, 0.343, 2.984
3.905, -0.136, 1.945
5.287, -0.441, -3.299
-9.938, -0.815, -1.170
-6.337, 0.480, -1.124
0.917, 0.680, 2.363
3.112, -1.434, -3.199
1.201, 1.352, -0.772
5.828, 1.540, -3.716
-9.794, -1.865, -1.235
-9.725, 1.778, 1.142
2.021, 0.600, -2.089
-7.850, 1.092, 3.309
6.312, 0.720, 1.341
-0.556, 1.114, -3.625
2.356, -0.693, 2.041
3.248, 1.363, 2.078
-4.771, -1.810, -0.010
3.336, 1.484, 0.853
1.904, 1.322, -3.626
-6.529, 1.749, 3.961
6.332, 0.345, -2.031
3.289, -0.262, 0.437
7.448, 1.526, -1.994
3.716, -0.748, 0.400
4.806, -0.254, -2.590
-7.328, 1.384, -3.156
-2.462, 0.797, 3.683
5.194, 0.220, 1.924
7.146, -1.731, -3.738
6.364, 0.981, 2.583
7.346, 1.619, 1.851
8.691, 0.485, -3.994
8.178, 1.821, -3.089
8.675, 1.103, 3.950
-0.861, 1.592, -3.829
8.930, 1.903, -2.099
-3.389, 0.551, -1.021
-7.145, 1.651, -3.671
9.055, -0.849, 2.147
6.028, 1.571, -1.156
0.023, 0.485, -3.828
-3.187, 1.838, -2.568
4.191, -0.261, 3.456
8.677, 0.766, -1.389
6.757, 1.766, -0.118
-5.324, 1.483, 3.042
2.935, -1.065, -2.719
5.249, -0.006, 1.725
3.269, -1.818, 3.223
1.429, -0.513, 2.213
-1.525, 1.710, 3.537
-2.561, -1.687, -2.210
5.172, 0.982, 3.264
2.348, -0.076, 3.196
2.337, 0.714, 0.662
-0.668, 1.608, -2.471
-4.208, -1.029, -0.559
5.287, 0.657, -1.521
-7.561, -1.277, 2.792
3.001, 0.428, 3.170
-5.799, -0.517, 0.288
9.200, -0.946, -0.690
-0.931, 0.579, 3.540
-4.084, 0.335, -1.360
-9.386, 0.205, -3.984
4.670, -0.418, 2.349
-8.986, 1.432, 1.872
0.764, 1.324, -0.074
-8.111, 1.530, 2.087
6.389, 0.910, -1.239
3.293, 0.011, -2.189
9.771, -1.602, -0.047
-7.054, 0.850, 0.927
-6.108, 1.436, 3.016
5.785, 1.334, -0.477
-5.844, 1.841, -3.096
-9.174, -0.756, 0.383
-6.245, -1.821, -2.401
-9.512, 0.934, 1.833
9.879, -0.693, 0.090
3.518, -0.308, -1.598
-9.246, 0.549, 3.478
-4.831, -1.393, 1.346
5.132, -1.667, 1.329
5.155, -1.608, 3.167
-9.470, 0.598, 2.647
-4.904, 1.343, 1.374
-4.979, -0.849, -1.719
8.108, -1.488, -2.415
-2.540, 0.441, 3.172
6.649, -0.083, 0.697
8.343, 0.822, 0.525
8.108, 1.643, 3.652
-0.768, 0.737, 2.325
4.011, -1.102, -3.343
-3.256, -0.492, -2.090
-9.160, -1.758, 3.626
5.087, -1.492, 3.793
-0.251, 1.390, 2.150
-6.728, 1.059, 1.395
3.305, -1.484, 2.491
-2.025, 1.243, 2.416
4.276, 0.667, -1.658
4.028, -0.258, -1.107
2.854, 0.886, -0.214
-1.384, -1.077, 0.675
-5.746, 1.726, 1.182
4.967, 0.521, -2.935
4.874, -0.565, -1.619
9.592, -1.603, -1.897
-9.959, -0.754, -1.363
-2.130, -0.600, -3.457
-9.153, -0.253, 0.200
-8.826, 0.075, 3.511
8.996, 0.245, -0.551
-7.814, -0.863, 0.373
9.100, 1.208, 2.594
